transaction_id,timestamp,account_id,payer_id,payee_id,amount,currency,merchant_category,merchant_name,country,channel,device_id,ip_hash,balance_before,balance_after,label,notes
tx000017,2025-12-29T09:30:49Z,ACCT100031,CARD4105,MCHT_CHICK-FIL-A,12.22,USD,fast_food,Chick-fil-A,IR,in_store,DEV-ACCT100031-4,ip_426bd689,3783.79,3771.57,0,quick food/coffee
tx000018,2025-12-25T11:19:59Z,ACCT100275,ACCT100275-CHK,MCHT_AMAZON_MARKETPLACE,46.97,USD,online_retail,Amazon Marketplace,US,atm,DEV-ACCT100275-4,ip_d4575480,1019.43,972.46,0,normal transaction
tx000019,2025-12-05T23:19:30Z,ACCT100239,ACCT100239-CHK,MCHT_ZELLE_PAYMENT,62.92,USD,p2p,Zelle Payment,GB,in_store,DEV-ACCT100239-4,ip_15135d0b,3287.22,3224.30,0,peer payment
tx000020,2025-12-18T09:17:08Z,ACCT100025,CARD4133,MCHT_MCDONALDS,7.80,USD,fast_food,McDonalds,CA,mobile_app,DEV-ACCT100025-1,ip_bd75f0cc,2014.68,2006.88,1,multiple small purchases
tx000021,2025-12-05T05:27:55Z,ACCT100009,ACCT100009-CHK,MCHT_BEST_BUY,632.73,USD,electronics,Best Buy,US,online,DEV-ACCT100009-1,ip_0c427e9b,634.09,1.36,1,near-zero balance after transaction
tx000022,2025-12-29T07:29:28Z,ACCT100102,ACCT100102-CHK,MCHT_STARBUCKS,12.44,USD,coffee,Starbucks,CA,in_store,DEV-ACCT100102-2,ip_17003aa4,3557.76,3545.32,0,quick food/coffee
tx000023,2025-12-21T03:39:18Z,ACCT100083,ACCT100083-CHK,MCHT_NETFLIXCOM,25.98,USD,subscription,Netflix.com,US,atm,DEV-ACCT100083-2,ip_a05a342c,4540.20,4514.22,2,high amount potential fraud
tx000024,2025-12-05T21:41:34Z,ACCT100154,ACCT100154-CHK,MCHT_CHIPOTLE,22.74,USD,restaurants,Chipotle,US,mobile_app,DEV-ACCT100154-4,ip_819b3609,1044.52,1021.78,0,meal out
tx000025,2025-12-27T05:23:53Z,ACCT100221,CARD4185,MCHT_SRP_ELECTRIC,3433.47,USD,utilities,SRP Electric,US,online,DEV-ACCT100221-4,ip_7a35ee03,3106.31,-327.16,2,sudden full-drain transaction
tx000026,2025-12-15T03:36:38Z,ACCT100223,CARD4137,MCHT_LYFT_RIDE,30.58,USD,rideshare,Lyft Ride,RU,in_store,DEV-ACCT100223-4,ip_461cac3c,3865.89,3835.31,1,unusual late-night transaction
tx000027,2025-12-14T10:31:17Z,ACCT100014,CARD4253,MCHT_COSTCO_WHOLESALE,271.28,USD,groceries,Costco Wholesale,US,mobile_app,DEV-ACCT100014-3,ip_e7260532,3424.48,3153.20,0,grocery run
tx000028,2025-12-28T07:44:46Z,ACCT100264,ACCT100264-CHK,MCHT_STARBUCKS,11.83,USD,coffee,Starbucks,US,atm,DEV-ACCT100264-4,ip_fbd408d4,4251.85,4240.02,0,quick food/coffee
tx000029,2025-12-30T08:30:49Z,ACCT100047,ACCT100047-CHK,MCHT_CHICK-FIL-A,12.13,USD,fast_food,Chick-fil-A,US,mobile_app,DEV-ACCT100047-3,ip_dbecb420,1750.88,1738.75,0,quick food/coffee
tx000030,2025-12-17T06:47:33Z,ACCT100232,CARD4138,MCHT_DUTCH_BROS_COFFEE,12.38,USD,coffee,Dutch Bros Coffee,US,online,DEV-ACCT100232-2,ip_78f66211,3177.66,3165.28,0,quick food/coffee
tx000031,2025-12-06T18:38:26Z,ACCT100110,CARD4247,MCHT_CITY_WATER_&_SEWER,7.23,USD,utilities,City Water & Sewer,IR,mobile_app,DEV-ACCT100110-2,ip_44f99ac2,4441.34,4434.11,1,multiple small purchases
tx000032,2025-12-08T09:06:43Z,ACCT100007,ACCT100007-CHK,MCHT_DUTCH_BROS_COFFEE,887.66,USD,coffee,Dutch Bros Coffee,US,mobile_app,DEV-ACCT100007-4,ip_b997e185,891.22,3.56,1,near-zero balance after transaction
tx000033,2025-12-07T06:25:25Z,ACCT100174,ACCT100174-CHK,MCHT_DUTCH_BROS_COFFEE,10.35,USD,coffee,Dutch Bros Coffee,RU,atm,DEV-ACCT100174-1,ip_619b4daf,4133.74,4123.39,0,quick food/coffee
tx000034,2025-12-28T23:43:16Z,ACCT100076,CARD4288,MCHT_WALMART_SUPERCENTER,4589.68,USD,groceries,Walmart Supercenter,US,in_store,DEV-ACCT100076-2,ip_e208c2c0,4596.05,6.37,1,near-zero balance after transaction
tx000035,2025-12-29T12:01:13Z,ACCT100230,CARD4226,MCHT_CAMPUS_PARKING,17.19,USD,parking,Campus Parking,US,mobile_app,DEV-ACCT100230-1,ip_58d56a63,860.50,843.31,0,normal transaction
tx000036,2025-12-09T11:53:34Z,ACCT100108,ACCT100108-CHK,MCHT_COSTCO_WHOLESALE,168.12,USD,groceries,Costco Wholesale,US,in_store,DEV-ACCT100108-4,ip_88f6951f,2541.76,2373.64,0,grocery run
tx000037,2025-12-05T08:26:58Z,ACCT100016,CARD4118,MCHT_SRP_ELECTRIC,188.59,USD,utilities,SRP Electric,NG,atm,DEV-ACCT100016-2,ip_73ded9ab,1491.98,1303.39,0,monthly bill
tx000038,2025-12-05T08:43:03Z,ACCT100058,ACCT100058-CHK,MCHT_HULU,12.93,USD,subscription,Hulu,US,online,DEV-ACCT100058-3,ip_38cde0d8,1235.31,1222.38,0,subscription renewal
tx000039,2025-12-23T03:32:42Z,ACCT100063,CARD4239,MCHT_SRP_ELECTRIC,55.98,USD,utilities,SRP Electric,US,atm,DEV-ACCT100063-4,ip_945ba507,3525.41,3469.43,0,monthly bill
tx000040,2025-12-14T03:33:20Z,ACCT100128,ACCT100128-CHK,MCHT_STARBUCKS,11.17,USD,coffee,Starbucks,DE,in_store,DEV-ACCT100128-3,ip_55975cec,4454.25,4443.08,1,unusual late-night transaction
tx000041,2025-12-21T17:16:45Z,ACCT100299,CARD4223,MCHT_TARGET,107.12,USD,retail,Target,CA,mobile_app,DEV-ACCT100299-2,ip_c7ada8dc,4473.98,4366.86,0,normal transaction
tx000042,2025-12-23T23:25:47Z,ACCT100210,CARD4253,MCHT_T-MOBILE,60.19,USD,utilities,T-Mobile,US,in_store,DEV-ACCT100210-1,ip_83dacef0,1693.41,1633.22,0,monthly bill
tx000043,2025-12-26T20:48:20Z,ACCT100263,CARD4000,MCHT_UBER_EATS,27.02,USD,delivery,Uber Eats,US,mobile_app,DEV-ACCT100263-2,ip_effd9378,1209.86,1182.84,0,meal out
tx000044,2025-12-09T14:02:35Z,ACCT100224,ACCT100224-CHK,MCHT_SAFEWAY,31.64,USD,groceries,Safeway,DE,online,DEV-ACCT100224-4,ip_f49f2fb9,757.24,725.60,0,grocery run
tx000045,2025-12-26T02:10:07Z,ACCT100115,CARD4058,MCHT_TARGET,4696.32,USD,retail,Target,DE,online,DEV-ACCT100115-3,ip_b047d4bb,4417.33,-278.99,2,sudden full-drain transaction
tx000046,2025-12-11T00:17:46Z,ACCT100247,ACCT100247-CHK,MCHT_DOORDASH,49.77,USD,delivery,DoorDash,US,atm,DEV-ACCT100247-4,ip_8756ae04,2281.04,2231.27,1,unusual late-night transaction
tx000047,2025-12-09T09:34:43Z,ACCT100259,ACCT100259-CHK,MCHT_DUTCH_BROS_COFFEE,7.66,USD,coffee,Dutch Bros Coffee,US,atm,DEV-ACCT100259-4,ip_babce922,4699.67,4692.01,0,quick food/coffee
tx000048,2025-12-04T00:22:19Z,ACCT100164,ACCT100164-CHK,MCHT_APPLECOM/BILL,21.55,USD,online_services,Apple.com/Bill,US,atm,DEV-ACCT100164-4,ip_2734c5ac,4368.36,4346.81,0,normal transaction
tx000049,2025-12-06T18:27:08Z,ACCT100077,ACCT100077-CHK,MCHT_WALMART_SUPERCENTER,4.29,USD,groceries,Walmart Supercenter,GB,mobile_app,DEV-ACCT100077-4,ip_fcd907db,2564.83,2560.54,1,multiple small purchases
tx000050,2025-12-18T07:58:17Z,ACCT100073,ACCT100073-CHK,MCHT_WALMART_SUPERCENTER,86.61,USD,groceries,Walmart Supercenter,IR,mobile_app,DEV-ACCT100073-1,ip_f25ca839,1916.05,1829.44,0,grocery run
tx000051,2025-12-28T03:50:54Z,ACCT100273,CARD4194,MCHT_SPOTIFY,5.68,USD,subscription,Spotify,IR,atm,DEV-ACCT100273-3,ip_6e497479,4725.19,4719.51,0,subscription renewal
tx000052,2025-12-23T08:44:31Z,ACCT100046,ACCT100046-CHK,MCHT_SHELL_OIL,31.74,USD,fuel,Shell Oil,NG,in_store,DEV-ACCT100046-3,ip_e5851cbb,954.51,922.77,0,gas station
tx000053,2025-12-29T18:10:23Z,ACCT100150,CARD4183,MCHT_UBER_EATS,42.43,USD,delivery,Uber Eats,US,atm,DEV-ACCT100150-4,ip_bd987b4e,4978.17,4935.74,0,meal out
tx000054,2025-12-24T08:42:27Z,ACCT100254,ACCT100254-CHK,MCHT_STARBUCKS,12.85,USD,coffee,Starbucks,DE,mobile_app,DEV-ACCT100254-3,ip_12e050e2,4993.04,4980.19,0,quick food/coffee
tx000055,2025-12-14T00:54:16Z,ACCT100037,CARD4226,MCHT_BEST_BUY,209.19,USD,electronics,Best Buy,US,atm,DEV-ACCT100037-4,ip_587df767,3283.34,3074.15,0,normal transaction
tx000056,2025-12-16T05:29:16Z,ACCT100054,CARD4121,MCHT_APPLECOM/BILL,34.05,USD,online_services,Apple.com/Bill,GB,mobile_app,DEV-ACCT100054-4,ip_d9a58c88,3416.16,3382.11,0,normal transaction
tx000057,2025-12-15T04:51:34Z,ACCT100004,ACCT100004-CHK,MCHT_ZELLE_PAYMENT,147.41,USD,p2p,Zelle Payment,NG,atm,DEV-ACCT100004-2,ip_a6d98052,3814.12,3666.71,1,unusual late-night transaction
tx000058,2025-12-30T08:46:17Z,ACCT100070,ACCT100070-CHK,MCHT_MCDONALDS,16.92,USD,fast_food,McDonalds,CA,in_store,DEV-ACCT100070-3,ip_7be3d4bc,1449.42,1432.50,0,quick food/coffee
tx000059,2025-12-09T17:58:38Z,ACCT100089,ACCT100089-CHK,MCHT_CIRCLE_K,24.25,USD,fuel,Circle K,US,mobile_app,DEV-ACCT100089-3,ip_6abdad6c,712.02,687.77,1,multiple small purchases
tx000060,2025-12-28T22:50:07Z,ACCT100058,ACCT100058-CHK,MCHT_WALMART_SUPERCENTER,147.56,USD,groceries,Walmart Supercenter,US,atm,DEV-ACCT100058-1,ip_38cd8767,1222.38,1074.82,0,grocery run
tx000061,2025-12-30T20:52:51Z,ACCT100274,CARD4063,MCHT_CHIPOTLE,15.57,USD,restaurants,Chipotle,NG,mobile_app,DEV-ACCT100274-2,ip_9f16f165,1104.31,1088.74,0,meal out
tx000062,2025-12-24T10:25:48Z,ACCT100012,CARD4287,MCHT_ZELLE_PAYMENT,939.51,USD,p2p,Zelle Payment,US,in_store,DEV-ACCT100012-1,ip_100d4790,597.35,-342.16,2,sudden full-drain transaction
tx000063,2025-12-13T03:29:51Z,ACCT100023,CARD4019,MCHT_BEST_BUY,247.77,USD,electronics,Best Buy,US,in_store,DEV-ACCT100023-4,ip_001e4f1d,1199.66,951.89,1,unusual late-night transaction
tx000064,2025-12-19T21:13:04Z,ACCT100212,CARD4050,MCHT_SPOTIFY,9.45,USD,subscription,Spotify,US,in_store,DEV-ACCT100212-2,ip_b894b9b1,2458.49,2449.04,0,subscription renewal
tx000065,2025-12-07T19:50:43Z,ACCT100050,CARD4188,MCHT_SAFEWAY,2257.06,USD,groceries,Safeway,US,online,DEV-ACCT100050-2,ip_a4610aef,2165.81,-91.25,2,sudden full-drain transaction
tx000066,2025-12-05T05:27:20Z,ACCT100025,ACCT100025-CHK,MCHT_BEST_BUY,2004.02,USD,electronics,Best Buy,IR,online,DEV-ACCT100025-2,ip_bd75774b,2006.88,2.86,1,near-zero balance after transaction
tx000067,2025-12-28T08:51:56Z,ACCT100168,ACCT100168-CHK,MCHT_DUTCH_BROS_COFFEE,11.27,USD,coffee,Dutch Bros Coffee,US,online,DEV-ACCT100168-1,ip_1709437b,1464.07,1452.80,0,quick food/coffee
tx000068,2025-12-14T18:41:41Z,ACCT100007,ACCT100007-CHK,MCHT_NETFLIXCOM,17.42,USD,subscription,Netflix.com,US,online,DEV-ACCT100007-1,ip_b997208a,3.56,-13.86,0,subscription renewal
tx000069,2025-12-26T08:32:01Z,ACCT100243,CARD4229,MCHT_AMAZON_MARKETPLACE,77.66,USD,online_retail,Amazon Marketplace,US,atm,DEV-ACCT100243-3,ip_0859ea84,4706.18,4628.52,0,normal transaction
tx000070,2025-12-25T16:43:25Z,ACCT100015,CARD4031,MCHT_LYFT_RIDE,3.69,USD,rideshare,Lyft Ride,US,in_store,DEV-ACCT100015-1,ip_1296a4eb,2952.24,2948.55,1,multiple small purchases
tx000071,2025-12-20T10:33:17Z,ACCT100075,ACCT100075-CHK,MCHT_DUTCH_BROS_COFFEE,9.56,USD,coffee,Dutch Bros Coffee,DE,mobile_app,DEV-ACCT100075-4,ip_70cd32c7,2280.34,2270.78,0,quick food/coffee
tx000072,2025-12-18T20:25:11Z,ACCT100058,ACCT100058-CHK,MCHT_UBER_EATS,19.28,USD,delivery,Uber Eats,US,atm,DEV-ACCT100058-4,ip_38cda003,1074.82,1055.54,0,meal out
tx000073,2025-12-06T03:06:13Z,ACCT100130,ACCT100130-CHK,MCHT_VERIZON_WIRELESS,114.46,USD,utilities,Verizon Wireless,CA,in_store,DEV-ACCT100130-3,ip_7ee4429e,1883.81,1769.35,1,unusual late-night transaction
tx000074,2025-12-22T10:16:34Z,ACCT100284,CARD4030,MCHT_T-MOBILE,2696.93,USD,utilities,T-Mobile,US,mobile_app,DEV-ACCT100284-3,ip_11479ff9,2698.39,1.46,1,near-zero balance after transaction
tx000075,2025-12-07T03:36:09Z,ACCT100180,ACCT100180-CHK,MCHT_COSTCO_WHOLESALE,193.50,USD,groceries,Costco Wholesale,CA,online,DEV-ACCT100180-1,ip_88618ea0,3780.84,3587.34,0,grocery run
tx000076,2025-12-31T11:02:58Z,ACCT100293,CARD4115,MCHT_LYFT_RIDE,950.59,USD,rideshare,Lyft Ride,IR,in_store,DEV-ACCT100293-2,ip_13f68bea,1678.80,728.21,2,unusual country high amount
tx000077,2025-12-29T09:19:51Z,ACCT100158,CARD4173,MCHT_SAFEWAY,38.35,USD,groceries,Safeway,RU,online,DEV-ACCT100158-1,ip_d1f62efa,1535.52,1497.17,0,grocery run
tx000078,2025-12-19T19:46:44Z,ACCT100271,CARD4110,MCHT_UBER_EATS,57.36,USD,delivery,Uber Eats,US,online,DEV-ACCT100271-1,ip_dd891aef,1847.20,1789.84,0,meal out
tx000079,2025-12-22T11:31:55Z,ACCT100079,ACCT100079-CHK,MCHT_VERIZON_WIRELESS,84.20,USD,utilities,Verizon Wireless,US,atm,DEV-ACCT100079-3,ip_59816e5f,1609.82,1525.62,0,monthly bill
tx000080,2025-12-27T19:02:30Z,ACCT100262,CARD4058,MCHT_UBER_EATS,59.30,USD,delivery,Uber Eats,US,atm,DEV-ACCT100262-1,ip_dae603ef,2162.87,2103.57,0,meal out
tx000081,2025-12-15T17:07:58Z,ACCT100104,ACCT100104-CHK,MCHT_CIRCLE_K,57.35,USD,fuel,Circle K,IR,mobile_app,DEV-ACCT100104-2,ip_14884224,1700.71,1643.36,0,gas station
tx000082,2025-12-05T09:29:35Z,ACCT100194,ACCT100194-CHK,MCHT_AMAZON_MARKETPLACE,91.62,USD,online_retail,Amazon Marketplace,RU,mobile_app,DEV-ACCT100194-4,ip_fd430998,2494.09,2402.47,0,normal transaction
tx000083,2025-12-22T04:10:04Z,ACCT100235,CARD4039,MCHT_APPLECOM/BILL,19.18,USD,online_services,Apple.com/Bill,GB,atm,DEV-ACCT100235-3,ip_ffa457ff,1039.49,1020.31,0,normal transaction
tx000084,2025-12-23T21:25:08Z,ACCT100235,ACCT100235-CHK,MCHT_UBER_EATS,32.81,USD,delivery,Uber Eats,US,online,DEV-ACCT100235-3,ip_ffa4add4,1020.31,987.50,0,meal out
tx000085,2025-12-27T15:43:06Z,ACCT100113,ACCT100113-CHK,MCHT_WALMART_SUPERCENTER,165.42,USD,groceries,Walmart Supercenter,DE,in_store,DEV-ACCT100113-3,ip_25f4b3c3,1303.93,1138.51,0,grocery run
tx000086,2025-12-31T03:21:53Z,ACCT100075,ACCT100075-CHK,MCHT_COSTCO_WHOLESALE,242.20,USD,groceries,Costco Wholesale,US,online,DEV-ACCT100075-1,ip_70cd5ab2,2270.78,2028.58,0,grocery run
tx000087,2025-12-17T05:50:51Z,ACCT100252,CARD4237,MCHT_VERIZON_WIRELESS,46.83,USD,utilities,Verizon Wireless,GB,mobile_app,DEV-ACCT100252-4,ip_4c279b0b,826.44,779.61,0,monthly bill
tx000088,2025-12-23T20:02:13Z,ACCT100140,CARD4028,MCHT_AMAZON_MARKETPLACE,50.56,USD,online_retail,Amazon Marketplace,US,atm,DEV-ACCT100140-3,ip_01802749,2638.77,2588.21,0,normal transaction
tx000089,2025-12-23T21:41:48Z,ACCT100046,CARD4259,MCHT_DOORDASH,42.23,USD,delivery,DoorDash,MX,in_store,DEV-ACCT100046-2,ip_e5851fad,922.77,880.54,0,meal out
tx000090,2025-12-03T19:07:22Z,ACCT100230,CARD4052,MCHT_TARGET,76.91,USD,retail,Target,US,online,DEV-ACCT100230-4,ip_58d55147,843.31,766.40,0,normal transaction
tx000091,2025-12-30T06:50:24Z,ACCT100186,CARD4190,MCHT_CHICK-FIL-A,12.02,USD,fast_food,Chick-fil-A,IR,mobile_app,DEV-ACCT100186-3,ip_1fbe3063,4377.53,4365.51,0,quick food/coffee
tx000092,2025-12-18T06:37:50Z,ACCT100285,CARD4197,MCHT_DUTCH_BROS_COFFEE,14.08,USD,coffee,Dutch Bros Coffee,RU,online,DEV-ACCT100285-3,ip_24f7c8ae,4574.01,4559.93,0,quick food/coffee
tx000093,2025-12-08T02:24:34Z,ACCT100066,CARD4043,MCHT_APPLECOM/BILL,34.01,USD,online_services,Apple.com/Bill,DE,mobile_app,DEV-ACCT100066-1,ip_4017d8c8,1530.72,1496.71,0,normal transaction
tx000094,2025-12-18T20:12:58Z,ACCT100260,ACCT100260-CHK,MCHT_CHIPOTLE,12.06,USD,restaurants,Chipotle,US,online,DEV-ACCT100260-1,ip_bed49772,4463.89,4451.83,0,meal out
tx000095,2025-12-30T21:21:42Z,ACCT100051,ACCT100051-CHK,MCHT_T-MOBILE,52.98,USD,utilities,T-Mobile,IR,online,DEV-ACCT100051-2,ip_669fe016,1442.78,1389.80,0,monthly bill
tx000096,2025-12-31T12:54:51Z,ACCT100022,CARD4210,MCHT_VERIZON_WIRELESS,114.85,USD,utilities,Verizon Wireless,US,atm,DEV-ACCT100022-4,ip_0bb777cf,1916.75,1801.90,0,monthly bill
tx000097,2025-12-11T07:33:51Z,ACCT100273,CARD4122,MCHT_TARGET,143.13,USD,retail,Target,IR,atm,DEV-ACCT100273-4,ip_6e49ec61,4719.51,4576.38,0,normal transaction
tx000098,2025-12-31T06:00:11Z,ACCT100144,CARD4195,MCHT_TARGET,52.50,USD,retail,Target,RU,online,DEV-ACCT100144-4,ip_df43be0f,2404.12,2351.62,0,normal transaction
tx000099,2025-12-15T09:57:38Z,ACCT100283,ACCT100283-CHK,MCHT_DUTCH_BROS_COFFEE,13.14,USD,coffee,Dutch Bros Coffee,IR,online,DEV-ACCT100283-1,ip_c95a71ae,1687.93,1674.79,0,quick food/coffee
tx000100,2025-12-13T20:05:13Z,ACCT100230,ACCT100230-CHK,MCHT_UBER_EATS,16.27,USD,delivery,Uber Eats,US,mobile_app,DEV-ACCT100230-1,ip_58d5abab,766.40,750.13,0,meal out
tx000101,2025-12-08T09:28:27Z,ACCT100074,ACCT100074-CHK,MCHT_DUTCH_BROS_COFFEE,13.96,USD,coffee,Dutch Bros Coffee,RU,atm,DEV-ACCT100074-1,ip_5ef88308,3449.47,3435.51,0,quick food/coffee
tx000102,2025-12-16T12:23:08Z,ACCT100110,CARD4076,MCHT_WALMART_SUPERCENTER,61.96,USD,groceries,Walmart Supercenter,US,online,DEV-ACCT100110-4,ip_44f92028,4434.11,4372.15,0,grocery run
tx000103,2025-12-08T20:47:53Z,ACCT100056,ACCT100056-CHK,MCHT_SPOTIFY,5.02,USD,subscription,Spotify,GB,online,DEV-ACCT100056-3,ip_c21a7b2b,1270.12,1265.10,0,subscription renewal
tx000104,2025-12-05T04:22:16Z,ACCT100292,ACCT100292-CHK,MCHT_T-MOBILE,1130.50,USD,utilities,T-Mobile,RU,mobile_app,DEV-ACCT100292-1,ip_2a34c7e9,3367.01,2236.51,2,unusual country high amount
tx000105,2025-12-19T05:33:49Z,ACCT100240,CARD4022,MCHT_TARGET,7.55,USD,retail,Target,US,in_store,DEV-ACCT100240-1,ip_831faa3f,2386.51,2378.96,1,multiple small purchases
tx000106,2025-12-24T10:50:38Z,ACCT100068,CARD4022,MCHT_APPLECOM/BILL,2213.13,USD,online_services,Apple.com/Bill,RU,online,DEV-ACCT100068-2,ip_19c8204e,1878.85,-334.28,2,sudden full-drain transaction
tx000107,2025-12-03T08:59:35Z,ACCT100234,CARD4018,MCHT_STARBUCKS,8.38,USD,coffee,Starbucks,IR,online,DEV-ACCT100234-4,ip_3b2e81b2,1558.42,1550.04,0,quick food/coffee
tx000108,2025-12-18T19:07:22Z,ACCT100018,CARD4097,MCHT_CHIPOTLE,22.46,USD,restaurants,Chipotle,IR,in_store,DEV-ACCT100018-4,ip_f9f5c5f6,4142.44,4119.98,1,multiple small purchases
tx000109,2025-12-05T03:38:06Z,ACCT100173,CARD4095,MCHT_VERIZON_WIRELESS,139.51,USD,utilities,Verizon Wireless,US,mobile_app,DEV-ACCT100173-2,ip_45c89668,4030.79,3891.28,1,unusual late-night transaction
tx000110,2025-12-23T10:45:55Z,ACCT100164,ACCT100164-CHK,MCHT_MCDONALDS,14.28,USD,fast_food,McDonalds,US,mobile_app,DEV-ACCT100164-3,ip_2734e4ee,4346.81,4332.53,0,quick food/coffee
tx000111,2025-12-05T09:23:54Z,ACCT100021,CARD4180,MCHT_DUTCH_BROS_COFFEE,12.25,USD,coffee,Dutch Bros Coffee,IR,in_store,DEV-ACCT100021-2,ip_76c90ff1,3641.63,3629.38,0,quick food/coffee
tx000112,2025-12-19T11:27:18Z,ACCT100073,ACCT100073-CHK,MCHT_WALMART_SUPERCENTER,112.92,USD,groceries,Walmart Supercenter,US,mobile_app,DEV-ACCT100073-2,ip_f25ce65c,1829.44,1716.52,0,grocery run
tx000113,2025-12-27T17:25:04Z,ACCT100189,CARD4190,MCHT_SHELL_OIL,46.72,USD,fuel,Shell Oil,GB,online,DEV-ACCT100189-1,ip_dee90d44,2518.76,2472.04,0,gas station
tx000114,2025-12-14T04:18:43Z,ACCT100095,CARD4255,MCHT_ZELLE_PAYMENT,280.65,USD,p2p,Zelle Payment,US,mobile_app,DEV-ACCT100095-4,ip_a0f2667d,2217.29,1936.64,1,unusual late-night transaction
tx000115,2025-12-06T19:42:10Z,ACCT100062,ACCT100062-CHK,MCHT_DOORDASH,17.92,USD,delivery,DoorDash,NG,atm,DEV-ACCT100062-3,ip_8fb09993,3006.27,2988.35,0,meal out
tx000116,2025-12-08T15:19:20Z,ACCT100080,CARD4089,MCHT_AMAZON_MARKETPLACE,64.34,USD,online_retail,Amazon Marketplace,US,online,DEV-ACCT100080-3,ip_0452bce1,3026.16,2961.82,0,normal transaction
tx000117,2025-12-16T21:52:08Z,ACCT100239,ACCT100239-CHK,MCHT_SPOTIFY,12.17,USD,subscription,Spotify,US,in_store,DEV-ACCT100239-4,ip_1513d253,3224.30,3212.13,0,subscription renewal
tx000118,2025-12-23T17:46:38Z,ACCT100209,ACCT100209-CHK,MCHT_WALMART_SUPERCENTER,105.19,USD,groceries,Walmart Supercenter,US,in_store,DEV-ACCT100209-2,ip_68995d2a,4933.89,4828.70,0,grocery run
