step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
576,PAYMENT,18443.48,C3383331379,55834.18,37390.70,M1185303518,0.00,0.00,0
371,PAYMENT,5403.28,C5610783750,192082.21,186678.93,M9590331226,0.00,0.00,0
102,PAYMENT,249.65,C7471636437,19821.14,19571.49,M3580582653,0.00,0.00,0
207,PAYMENT,1136.85,C3429019820,23916.74,22779.89,M7230477043,0.00,0.00,0
486,TRANSFER,22769.92,C4482238042,192330.36,169560.44,C3846570058,9806.27,32576.19,0
425,TRANSFER,29326.77,C6075963527,56802.71,27475.94,C1756345332,37201.28,66528.05,0
234,PAYMENT,19734.31,C3484872186,160825.34,141091.03,M3965860354,0.00,0.00,0
529,PAYMENT,361.39,C5774080233,38593.06,38231.67,M5990749811,0.00,0.00,0
11,TRANSFER,18430.03,C4783282817,49752.61,31322.58,C4713453204,50817.83,69247.86,0
412,PAYMENT,13637.30,C1676168421,111603.98,97966.68,M4460319291,0.00,0.00,0
677,PAYMENT,23791.70,C4062777850,139259.16,115467.46,M2916502228,0.00,0.00,0
677,CASH_IN,114871.46,C3420721027,134013.22,248884.68,C4662861038,182640.85,182640.85,0
718,PAYMENT,20278.10,C1261903104,194072.13,173794.03,M2155671697,0.00,0.00,0
9,DEBIT,22834.88,C3045102506,65226.44,42391.56,M1466305100,0.00,0.00,0
457,DEBIT,22632.79,C8926438617,157909.39,135276.60,M5990749811,0.00,0.00,0
665,PAYMENT,18.67,C3894673596,5823.48,5804.81,M7514017540,0.00,0.00,0
343,CASH_OUT,47545.23,C9302705838,135004.92,87459.69,C6237376063,39219.86,39219.86,0
554,PAYMENT,5965.60,C7664258343,23637.42,17671.82,M2518433834,0.00,0.00,0
651,PAYMENT,7904.93,C7620473079,163407.74,155502.81,M2243802345,0.00,0.00,0
248,PAYMENT,197.25,C8236980551,189498.02,189300.77,M2303835765,0.00,0.00,0
62,PAYMENT,253.35,C9189503254,85396.68,85143.33,M6045729129,0.00,0.00,0
667,PAYMENT,4382.76,C2854772804,67100.75,62717.99,M6659847491,0.00,0.00,0
242,CASH_IN,117326.67,C5129478722,44114.50,161441.17,C5281907480,64043.59,64043.59,0
643,CASH_OUT,14066.28,C1614685938,82711.86,68645.58,C9049270990,48965.01,48965.01,0
683,CASH_OUT,95419.69,C9432088993,97245.38,1825.69,C9438411468,10907.60,10907.60,0
533,PAYMENT,667.72,C4180599722,28774.52,28106.80,M9896529524,0.00,0.00,0
370,PAYMENT,102.79,C6171239466,120885.90,120783.11,M1257854279,0.00,0.00,0
64,PAYMENT,92.50,C3995732958,147066.36,146973.86,M8063693463,0.00,0.00,0
694,TRANSFER,25884.03,C6244338653,143080.06,117196.03,C6663846005,150525.70,176409.73,0
271,TRANSFER,10032.57,C2720484983,17689.27,7656.70,C8295757364,12589.90,22622.47,0
427,PAYMENT,11810.68,C5419627962,147133.55,135322.87,M7340036327,0.00,0.00,0
133,TRANSFER,89674.99,C9255898264,157076.34,67401.35,C2227193073,100945.87,190620.86,0
467,CASH_OUT,22354.49,C5689870435,160707.64,138353.15,C4262396395,9160.34,9160.34,0
122,PAYMENT,7309.04,C4034047118,114288.12,106979.08,M2115406331,0.00,0.00,0
42,PAYMENT,1811.99,C8160279830,129130.44,127318.45,M6313472215,0.00,0.00,0
498,PAYMENT,33.32,C6110943464,164662.96,164629.64,M6401844042,0.00,0.00,0
313,PAYMENT,1.03,C7471636437,19571.49,19570.46,M7861571879,0.00,0.00,0
561,CASH_OUT,58758.93,C3291270703,167992.54,109233.61,C5778781449,136575.26,136575.26,0
580,PAYMENT,16789.61,C7627266377,65173.95,48384.34,M6515490818,0.00,0.00,0
621,PAYMENT,13735.75,C2180484299,94130.53,80394.78,M6011842297,0.00,0.00,0
684,CASH_OUT,122350.10,C5588254555,155558.08,33207.98,C8982597239,60368.33,60368.33,0
681,PAYMENT,2314.96,C7406579219,117597.85,115282.89,M6053489772,0.00,0.00,0
47,DEBIT,19114.90,C1553155490,170760.81,151645.91,M7713758036,0.00,0.00,0
170,TRANSFER,45015.30,C9958044697,72513.71,27498.41,C9103115140,63936.22,108951.52,0
127,PAYMENT,7452.96,C5036200310,165796.32,158343.36,M8030400668,0.00,0.00,0
55,TRANSFER,44035.30,C5183211669,82902.80,38867.50,C5022964382,106504.17,150539.47,0
20,DEBIT,2920.87,C6289150149,65856.95,62936.08,M8443061472,0.00,0.00,0
211,CASH_OUT,33556.52,C7965608188,167386.83,133830.31,C6099808894,97393.49,97393.49,0
547,PAYMENT,18031.60,C3030106617,107791.30,89759.70,M7717262223,0.00,0.00,0
24,PAYMENT,2002.73,C7010379415,11955.03,9952.30,M2129491690,0.00,0.00,0
264,CASH_IN,9505.42,C1654602021,126123.41,135628.83,C7760554363,47240.95,47240.95,0
188,PAYMENT,10654.33,C6392415228,107393.51,96739.18,M2711123163,0.00,0.00,0
61,PAYMENT,1743.92,C9573276057,196335.14,194591.22,M2916502228,0.00,0.00,0
102,PAYMENT,2899.00,C7977267911,60463.66,57564.66,M9288057824,0.00,0.00,0
124,PAYMENT,5275.07,C3975704877,159322.59,154047.52,M5449848690,0.00,0.00,0
517,PAYMENT,4635.00,C7803990970,12140.04,7505.04,M1857561275,0.00,0.00,0
417,PAYMENT,20499.75,C8235717104,118354.33,97854.58,M2885370603,0.00,0.00,0
20,CASH_IN,6877.58,C2295574037,106571.09,113448.67,C9333798503,34580.50,34580.50,0
569,PAYMENT,4231.79,C9479654136,135679.57,131447.78,M2711123163,0.00,0.00,0
652,CASH_OUT,895.80,C8612747444,2746.66,1850.86,C3713284816,92248.34,92248.34,0
252,PAYMENT,4352.93,C6000009225,80405.47,76052.54,M2156184315,0.00,0.00,0
2,CASH_IN,58747.70,C2965164102,27300.30,86048.00,C9454207717,141717.41,141717.41,0
172,CASH_OUT,205520.51,C8458717057,183542.43,0.00,M7764117705,0.00,0.00,1
360,PAYMENT,1536.09,C3923823693,95135.36,93599.27,M6771941776,0.00,0.00,0
166,TRANSFER,25959.44,C1225953184,144879.33,118919.89,C1955345537,60066.79,86026.23,0
126,CASH_OUT,31551.70,C6691628146,145945.70,114394.00,C8316205130,143144.64,143144.64,0
626,CASH_OUT,176763.73,C2994056084,194174.15,17410.42,C4308701294,21872.98,21872.98,0
651,CASH_OUT,9138.06,C3480920839,50679.38,41541.32,C7340428136,75787.87,75787.87,0
330,PAYMENT,3.75,C8366884200,134028.53,134024.78,M4952177946,0.00,0.00,0
709,DEBIT,1.31,C5130589741,39750.28,39748.97,M6515490818,0.00,0.00,0
10,PAYMENT,13766.97,C1197449658,60982.49,47215.52,M7861571879,0.00,0.00,0
552,CASH_OUT,51275.48,C6880115912,126680.46,75404.98,C5310195918,199686.71,199686.71,0
688,PAYMENT,16481.64,C1691293717,121162.95,104681.31,M7928143230,0.00,0.00,0
367,CASH_OUT,54023.17,C8497938394,184019.61,129996.44,C5569295400,34347.43,34347.43,0
380,PAYMENT,13606.84,C9457665185,103740.53,90133.69,M9065458220,0.00,0.00,0
697,PAYMENT,15658.33,C7271954644,44377.34,28719.01,M8821456242,0.00,0.00,0
227,PAYMENT,1529.44,C2963288053,162570.20,161040.76,M3534186676,0.00,0.00,0
621,PAYMENT,199.23,C2071552532,38309.50,38110.27,M6053489772,0.00,0.00,0
285,PAYMENT,10016.79,C7664258343,17671.82,7655.03,M3072183247,0.00,0.00,0
580,TRANSFER,62220.33,C3667292043,76441.42,14221.09,C8370987661,14077.63,76297.96,0
67,DEBIT,37837.56,C3725152347,120633.09,82795.53,M3566125120,0.00,0.00,0
281,TRANSFER,84989.25,C5067245523,143134.25,58145.00,C4012917912,65261.28,150250.53,0
630,TRANSFER,173686.03,C7801180691,198072.97,24386.94,C4163119785,24392.31,198078.34,0
657,TRANSFER,16645.52,C4073772623,157898.55,141253.03,C2620054076,38383.20,55028.72,0
417,TRANSFER,21321.22,C3057629778,186788.37,165467.15,C3423086220,56659.40,77980.62,0
45,PAYMENT,6247.90,C5641959772,139165.90,132918.00,M6401844042,0.00,0.00,0
324,CASH_OUT,173501.59,C1547374338,145173.54,0.00,M9581187661,0.00,0.00,1
707,PAYMENT,472.39,C5135595227,153726.08,153253.69,M7678293431,0.00,0.00,0
319,TRANSFER,31549.53,C9639245200,151339.50,119789.97,C6517150278,89764.12,121313.65,0
25,TRANSFER,9508.35,C8075122626,91873.68,82365.33,C3923823693,93599.27,103107.62,0
111,CASH_IN,97361.01,C1036351450,152454.74,249815.75,C6009268066,131584.25,131584.25,0
533,DEBIT,27663.41,C9094089209,57971.24,30307.83,M7750131975,0.00,0.00,0
641,PAYMENT,20647.08,C5584288132,157760.54,137113.46,M2541015125,0.00,0.00,0
387,CASH_OUT,2155.86,C8370987661,76297.96,74142.10,C9116428507,137669.33,137669.33,0
453,TRANSFER,1314.20,C4277581356,82167.56,80853.36,C6320115677,60780.91,62095.11,0
58,PAYMENT,144.62,C5182110973,77828.60,77683.98,M8667946580,0.00,0.00,0
421,TRANSFER,10.06,C6300607425,177595.58,177585.52,C6789292252,120727.20,120737.26,0
394,PAYMENT,2324.26,C2400094541,11930.34,9606.08,M8058679999,0.00,0.00,0
692,PAYMENT,187.86,C8867077130,38042.34,37854.48,M4242579642,0.00,0.00,0
13,PAYMENT,20040.37,C5646880148,179411.35,159370.98,M3072183247,0.00,0.00,0
130,PAYMENT,12308.49,C3744446292,144267.85,131959.36,M1122712790,0.00,0.00,0
456,PAYMENT,271.02,C6317189421,144200.71,143929.69,M5156392601,0.00,0.00,0
599,CASH_IN,11502.10,C8291250562,110773.39,122275.49,C4398953973,139873.10,139873.10,0
555,PAYMENT,1655.62,C1754603440,148516.93,146861.31,M6498703287,0.00,0.00,0
9,TRANSFER,8454.46,C8826851692,41801.91,33347.45,C8380507338,14174.79,22629.25,0
573,PAYMENT,9384.10,C8274273035,155821.58,146437.48,M4160161496,0.00,0.00,0
207,PAYMENT,11220.90,C1613549255,191820.75,180599.85,M6515490818,0.00,0.00,0
479,PAYMENT,23013.56,C2158638062,155532.33,132518.77,M3119908041,0.00,0.00,0
631,PAYMENT,18688.31,C5659161352,146157.87,127469.56,M4125758723,0.00,0.00,0
44,DEBIT,22330.47,C3346569443,159603.50,137273.03,M9523139706,0.00,0.00,0
478,PAYMENT,15609.66,C3768901084,181689.39,166079.73,M8144352013,0.00,0.00,0
385,PAYMENT,1.97,C4460967357,104227.82,104225.85,M9640701016,0.00,0.00,0
367,PAYMENT,681.88,C1913706213,4797.36,4115.48,M1306420495,0.00,0.00,0
600,PAYMENT,718.78,C6715961218,110545.58,109826.80,M8910440683,0.00,0.00,0
291,DEBIT,4653.67,C3438771483,196137.96,191484.29,M1811839103,0.00,0.00,0
568,PAYMENT,20347.74,C4178659381,192121.14,171773.40,M2121448210,0.00,0.00,0
22,PAYMENT,2305.74,C1207916194,189219.10,186913.36,M4093474499,0.00,0.00,0
216,PAYMENT,10052.57,C1160913827,50602.49,40549.92,M7651029165,0.00,0.00,0
540,CASH_IN,112772.21,C4895020135,95182.21,207954.42,C9354711271,113629.92,113629.92,0
67,DEBIT,1321.19,C6698759353,134349.51,133028.32,M8218146534,0.00,0.00,0
388,PAYMENT,20860.69,C6443749394,120914.65,100053.96,M6992094064,0.00,0.00,0
631,CASH_OUT,3015.79,C9702693937,66758.45,63742.66,C4623960580,122685.67,122685.67,0
254,CASH_OUT,71070.37,C7085004726,76725.98,5655.61,C6237376063,39219.86,39219.86,0
501,PAYMENT,491.20,C1225447588,41704.78,41213.58,M5564953924,0.00,0.00,0
398,TRANSFER,43258.30,C2493660313,64680.83,21422.53,C9860949331,153588.30,196846.60,0
476,CASH_OUT,40393.33,C4928783441,114928.05,74534.72,C8390631634,168381.57,168381.57,0
507,TRANSFER,73008.31,C5785481124,106224.35,33216.04,C9433570024,90645.72,163654.03,0
213,PAYMENT,3256.45,C1553753599,76526.60,73270.15,M2228388623,0.00,0.00,0
314,PAYMENT,1232.82,C4405620755,3815.66,2582.84,M6313472215,0.00,0.00,0
87,PAYMENT,2508.04,C4242550727,68709.23,66201.19,M9620935604,0.00,0.00,0
598,TRANSFER,34717.54,C6515369278,186467.47,151749.93,C3605585995,85140.83,119858.37,0
443,CASH_OUT,24127.51,C6340003593,110232.18,86104.67,C7340428136,75787.87,75787.87,0
184,PAYMENT,19899.56,C4633987776,80311.43,60411.87,M7270955446,0.00,0.00,0
302,TRANSFER,117708.30,C3313993297,129528.04,11819.74,C2125089309,70464.82,188173.12,0
234,PAYMENT,728.20,C8086172302,31005.10,30276.90,M7969674420,0.00,0.00,0
202,PAYMENT,653.24,C9544423456,17215.59,16562.35,M8276498637,0.00,0.00,0
619,CASH_IN,77298.78,C8719734235,151048.75,228347.53,C4956843441,195120.21,195120.21,0
268,CASH_OUT,96887.48,C4026379752,107425.30,10537.82,M9822499208,0.00,0.00,1
594,PAYMENT,24413.92,C8852676046,85180.45,60766.53,M9625656293,0.00,0.00,0
153,PAYMENT,4848.50,C1667483244,27884.66,23036.16,M5985331805,0.00,0.00,0
529,TRANSFER,127312.67,C3520417815,154073.56,26760.89,C1870644102,146328.10,273640.77,0
349,PAYMENT,14073.29,C9343730920,63499.24,49425.95,M6820149016,0.00,0.00,0
715,PAYMENT,12.24,C6155234610,116383.72,116371.48,M8366710477,0.00,0.00,0
143,PAYMENT,5436.94,C3169561289,27286.13,21849.19,M3508990774,0.00,0.00,0
675,PAYMENT,10902.98,C3420721027,248884.68,237981.70,M5815678365,0.00,0.00,0
414,TRANSFER,61939.19,C6884333221,137167.16,75227.97,C5536224717,182670.77,244609.96,0
582,DEBIT,14417.13,C9633533290,130951.57,116534.44,M8144352013,0.00,0.00,0
618,TRANSFER,6070.77,C8033062794,191176.69,185105.92,C6955593943,194778.35,200849.12,0
401,PAYMENT,2165.18,C9974165440,149230.11,147064.93,M8778927211,0.00,0.00,0
463,PAYMENT,10526.16,C9908115095,162971.73,152445.57,M1802753761,0.00,0.00,0
182,TRANSFER,4984.16,C9392515666,146862.69,141878.53,C5567816720,46534.93,51519.09,0
72,PAYMENT,1656.14,C4921003983,6445.91,4789.77,M2885370603,0.00,0.00,0
537,PAYMENT,519.94,C2377246195,182521.84,182001.90,M2839566253,0.00,0.00,0
421,CASH_IN,22061.75,C5510938155,64682.33,86744.08,C8625774078,192185.10,192185.10,0
71,DEBIT,36847.54,C4574027737,152907.77,116060.23,M9558906999,0.00,0.00,0
318,CASH_OUT,65895.53,C9974165440,147064.93,81169.40,C7792729530,76140.24,76140.24,0
318,TRANSFER,11725.40,C7079234115,20061.50,8336.10,C9857430687,171571.68,183297.08,0
8,PAYMENT,8271.76,C1131267917,100839.05,92567.29,M8389750357,0.00,0.00,0
253,DEBIT,9067.79,C9759180824,21876.40,12808.61,M7717262223,0.00,0.00,0
590,PAYMENT,2433.46,C9557663181,171584.42,169150.96,M8138332494,0.00,0.00,0
305,CASH_OUT,28898.16,C3020939193,198132.26,169234.10,C9547119184,17559.00,17559.00,0
184,CASH_OUT,8396.33,C3965676060,24871.87,16475.54,C4531928910,157465.35,157465.35,0
583,TRANSFER,15208.28,C9894264595,47757.31,32549.03,C2268006448,24708.84,39917.12,0
644,TRANSFER,99037.63,C6583444930,192117.35,93079.72,C2546720356,96848.62,195886.25,0
223,PAYMENT,241.92,C8991514523,98377.30,98135.38,M5734228580,0.00,0.00,0
378,PAYMENT,3518.80,C8252045593,113114.92,109596.12,M7951820749,0.00,0.00,0
169,TRANSFER,636.17,C7691931213,161568.14,160931.97,C5567816720,51519.09,52155.26,0
712,PAYMENT,17747.46,C9752058817,63829.96,46082.50,M8389750357,0.00,0.00,0
407,PAYMENT,2140.19,C6156843353,63388.75,61248.56,M8861351706,0.00,0.00,0
476,PAYMENT,11899.67,C1993998848,166850.06,154950.39,M8643636805,0.00,0.00,0
449,CASH_OUT,4087.21,C8109891300,35859.46,31772.25,C2079770569,106312.13,106312.13,0
19,PAYMENT,12945.89,C6928691380,26974.15,14028.26,M2773408660,0.00,0.00,0
173,CASH_OUT,3240.25,C1484230338,161759.18,158518.93,C7340428136,75787.87,75787.87,0
367,CASH_OUT,26323.52,C7832220535,49522.79,23199.27,C2295574037,113448.67,113448.67,0
49,CASH_OUT,96025.93,C7226553010,111697.39,15671.46,C8215470878,35053.48,35053.48,0
106,PAYMENT,33.34,C9807209816,97074.06,97040.72,M6659847491,0.00,0.00,0
387,DEBIT,1450.30,C2965718821,120888.05,119437.75,M1676220116,0.00,0.00,0
17,CASH_IN,3983.05,C2431779064,118857.52,122840.57,C4594787485,43399.62,43399.62,0
686,CASH_IN,100981.88,C3196545325,73416.58,174398.46,C3532855799,177945.28,177945.28,0
681,PAYMENT,186.63,C9138644862,93157.14,92970.51,M9625656293,0.00,0.00,0
335,TRANSFER,63327.54,C3651552513,127599.84,64272.30,C6469318275,53971.74,117299.28,0
439,PAYMENT,531.95,C4997866845,118551.24,118019.29,M1888107487,0.00,0.00,0
412,PAYMENT,895.69,C5933179746,91508.99,90613.30,M1343875431,0.00,0.00,0
674,TRANSFER,529.57,C9508499533,78415.38,77885.81,C9894264595,32549.03,33078.60,0
224,CASH_OUT,94885.71,C9837912162,141615.02,46729.31,C4877520294,165141.05,165141.05,0
583,CASH_IN,143935.58,C8684026200,8623.12,152558.70,C7988845536,22446.25,22446.25,0
714,DEBIT,4422.80,C9514255777,11702.08,7279.28,M1732578761,0.00,0.00,0
651,TRANSFER,40179.13,C3149533961,145040.10,104860.97,C6640801643,95698.69,135877.82,0
344,TRANSFER,61943.07,C6582557981,57841.69,0.00,M6199197408,0.00,0.00,1
14,TRANSFER,15083.33,C5704029171,65223.37,50140.04,C6928691380,14028.26,29111.59,0
439,TRANSFER,6755.73,C8507497883,15991.36,9235.63,C3875303857,39937.04,46692.77,0
156,TRANSFER,98669.34,C6313758032,181432.49,82763.15,C1862812038,172541.96,271211.30,0
455,PAYMENT,9482.59,C5641959772,132918.00,123435.41,M1857561275,0.00,0.00,0
41,CASH_IN,9734.31,C4558302256,154367.00,164101.31,C9147687657,180234.97,180234.97,0
25,CASH_OUT,6176.73,C1590838716,38509.13,32332.40,C7961674558,0.00,0.00,0
56,TRANSFER,87664.55,C4566852761,142409.50,54744.95,C5227828349,16031.38,103695.93,0
228,PAYMENT,4156.58,C5923940434,99410.89,95254.31,M6651754819,0.00,0.00,0
7,PAYMENT,38.59,C4322510552,146896.08,146857.49,M4242579642,0.00,0.00,0
145,PAYMENT,16646.58,C8578226896,30341.64,13695.06,M1083302600,0.00,0.00,0
210,PAYMENT,1921.51,C2745958114,80325.98,78404.47,M1357561213,0.00,0.00,0
203,PAYMENT,1585.03,C8758809005,83916.34,82331.31,M8821456242,0.00,0.00,0
460,PAYMENT,97.59,C6773938304,194414.51,194316.92,M1122712790,0.00,0.00,0
369,PAYMENT,5569.23,C7671041685,148337.22,142767.99,M5380159400,0.00,0.00,0
444,CASH_OUT,36.83,C2914590233,15280.07,15243.24,C8458717057,0.00,0.00,0
391,PAYMENT,7983.78,C8178927766,72666.86,64683.08,M6361225622,0.00,0.00,0
157,PAYMENT,1846.15,C8487449580,109589.80,107743.65,M9068916300,0.00,0.00,0
291,TRANSFER,2509.50,C9623534576,21102.84,18593.34,C6509985983,26543.43,29052.93,0
